,threshold,max_assocs,n_assocs,n_assocs_pc,density
0,0.55,29.0,3316.0,0.12123427902895584,0.06160820451843044
1,0.5,35.0,4134.0,0.15206356212756567,0.07680588585017836
2,0.7500000000000001,12.0,1156.0,0.04186888808402753,0.021477407847800237
3,0.7000000000000001,17.0,1360.0,0.050475059382422804,0.025267538644470868
4,0.5,40.0,4374.0,0.16079700022057203,0.08126486325802616
5,0.55,32.0,3294.0,0.12121881209980129,0.061199464922711055
6,0.5,32.0,4026.0,0.14662393473668875,0.07479934601664685
7,0.55,33.0,3452.0,0.12656742685341352,0.06413495838287753
8,0.5,38.0,4274.0,0.15615637559371576,0.07940695600475624
9,0.45,51.0,5492.0,0.20376966458889878,0.10203626634958383
10,0.7000000000000001,15.0,1486.0,0.054801593155332645,0.027608501783590964
11,0.5,36.0,4088.0,0.14994131455399062,0.0759512485136742
12,0.5,44.0,4276.0,0.15620661941988748,0.07944411414982164
13,0.6500000000000001,18.0,1808.0,0.06497053327583728,0.03359096313912009
14,0.6000000000000001,26.0,2440.0,0.08961363302482739,0.04533293697978597
15,0.5,34.0,3926.0,0.14297159504734158,0.07294143876337693
16,0.5,34.0,4334.0,0.159291384886798,0.0805217003567182
17,0.0,176.0,27526.0,1.0,0.5114075505350772
18,0.6000000000000001,30.0,2536.0,0.09317363509442281,0.04711652794292509
19,0.7500000000000001,12.0,1056.0,0.03909373611728121,0.019619500594530322
